species,region,quantile,varTracked
aforia circinata,ebs,quantile_0.01,both
alosa pseudoharengus,neus,quantile_0.01,none
alosa sapidissima,wc,quantile_0.01,both
amblyraja radiata,neus,quantile_0.01,both
ammodytes dubius,neus,quantile_0.01,none
ammodytes dubius,neus,quantile_0.99,none
anarhichas lupus,neus,quantile_0.01,both
asterias amurensis,ebs,quantile_0.99,both
atheresthes stomias,wc,quantile_0.01,both
boltenia ovifera,ebs,quantile_0.99,both
boreogadus saida,ebs,quantile_0.01,both
brevoortia tyrannus,neus,quantile_0.99,both
brosme brosme,neus,quantile_0.01,both
buccinum angulosum,ebs,quantile_0.01,both
buccinum polare,ebs,quantile_0.01,both
buccinum scalariforme,ebs,quantile_0.01,both
centropristis striata,neus,quantile_0.99,both
chionoecetes bairdi,ebs,quantile_0.99,both
chionoecetes opilio,ebs,quantile_0.01,both
clinopegma magnum,ebs,quantile_0.01,both
clupea pallasii,ebs,quantile_0.99,both
conger oceanicus,neus,quantile_0.99,both
ctenodiscus crispatus,ebs,quantile_0.01,both
cynoscion regalis,neus,quantile_0.99,both
dipturus laevis,neus,quantile_0.01,predict.sstmax
enchelyopus cimbrius,neus,quantile_0.01,none
eopsetta jordani,wc,quantile_0.01,predict.sstmax
erimacrus isenbeckii,ebs,quantile_0.99,both
eunoe nodosa,ebs,quantile_0.01,both
fusitriton oregonensis,ebs,quantile_0.99,both
gadus morhua,neus,quantile_0.01,predict.sstmin
glyptocephalus cynoglossus,neus,quantile_0.01,both
gorgonocephalus eucnemis,ebs,quantile_0.01,both
hemilepidotus jordani,ebs,quantile_0.99,both
hemilepidotus papilio,ebs,quantile_0.01,both
hemitripterus americanus,neus,quantile_0.01,none
hemitripterus bolini,ebs,quantile_0.01,both
hippoglossoides elassodon,wc,quantile_0.01,both
hippoglossoides platessoides,neus,quantile_0.01,predict.sstmax
hippoglossoides robustus,ebs,quantile_0.01,both
hippoglossus hippoglossus,neus,quantile_0.01,none
hippoglossus stenolepis,ebs,quantile_0.99,both
homarus americanus,neus,quantile_0.01,none
hyas coarctatus,ebs,quantile_0.01,both
hyas coarctatus,ebs,quantile_0.99,both
hyas lyratus,ebs,quantile_0.99,both
icelinus filamentosus,wc,quantile_0.01,both
icelus spiniger,ebs,quantile_0.01,both
labidochirus splendescens,ebs,quantile_0.01,both
lepidopsetta polyxystra,ebs,quantile_0.99,both
leptasterias arctica,ebs,quantile_0.01,both
leptasterias arctica,ebs,quantile_0.99,both
leptasterias polaris,ebs,quantile_0.01,both
lethasterias nanimensis,ebs,quantile_0.99,both
leucoraja erinacea,neus,quantile_0.01,both
leucoraja ocellata,neus,quantile_0.01,none
limanda aspera,ebs,quantile_0.99,both
limanda proboscidea,ebs,quantile_0.99,both
limulus polyphemus,neus,quantile_0.99,predict.sstmin
loligo opalescens,wc,quantile_0.99,both
loligo pealeii,neus,quantile_0.99,both
lycodes brevipes,ebs,quantile_0.01,both
lycodes diapterus,wc,quantile_0.01,both
lycodes palearis,ebs,quantile_0.01,both
lycodes raridens,ebs,quantile_0.01,both
mactromeris polynyma,ebs,quantile_0.99,both
malacoraja senta,neus,quantile_0.01,both
mallotus villosus,ebs,quantile_0.99,both
melanogrammus aeglefinus,neus,quantile_0.01,predict.sstmin
menidia menidia,neus,quantile_0.99,both
menticirrhus saxatilis,neus,quantile_0.99,predict.sstmin
merluccius albidus,neus,quantile_0.99,none
merluccius bilinearis,neus,quantile_0.01,none
metacarcinus magister,wc,quantile_0.01,both
morone saxatilis,neus,quantile_0.99,predict.sstmin
myoxocephalus jaok,ebs,quantile_0.99,both
myoxocephalus octodecemspinosus,neus,quantile_0.01,both
myoxocephalus scorpius,ebs,quantile_0.01,both
myoxocephalus scorpius,ebs,quantile_0.99,both
myxine glutinosa,neus,quantile_0.01,none
neptunea borealis,ebs,quantile_0.01,both
neptunea heros,ebs,quantile_0.01,both
neptunea heros,ebs,quantile_0.99,both
neptunea ventricosa,ebs,quantile_0.99,both
occella dodecaedron,ebs,quantile_0.99,both
ophidion marginatum,neus,quantile_0.99,both
ophiodon elongatus,wc,quantile_0.01,both
ophiura sarsii,ebs,quantile_0.01,both
oregonia gracilis,ebs,quantile_0.99,both
pagurus aleuticus,ebs,quantile_0.99,both
pagurus capillatus,ebs,quantile_0.99,both
pagurus confragosus,ebs,quantile_0.99,both
pagurus ochotensis,ebs,quantile_0.99,both
pagurus rathbuni,ebs,quantile_0.01,both
pagurus trigonocheirus,ebs,quantile_0.99,both
pandalus eous,ebs,quantile_0.01,both
pandalus goniurus,ebs,quantile_0.01,both
pandalus jordani,wc,quantile_0.01,both
paralichthys dentatus,neus,quantile_0.99,none
paralithodes camtschaticus,ebs,quantile_0.99,both
paralithodes platypus,ebs,quantile_0.01,both
paralithodes platypus,ebs,quantile_0.99,both
peprilus triacanthus,neus,quantile_0.99,both
phycis chesteri,neus,quantile_0.01,none
placopecten magellanicus,neus,quantile_0.01,predict.sstmax
platichthys stellatus,ebs,quantile_0.99,both
pleuronectes quadrituberculatus,ebs,quantile_0.99,both
plicifusus kroyeri,ebs,quantile_0.01,both
pollachius virens,neus,quantile_0.01,predict.sstmin
pomatomus saltatrix,neus,quantile_0.99,both
porichthys notatus,wc,quantile_0.99,both
prionotus carolinus,neus,quantile_0.99,predict.sstmax
pteraster obscurus,ebs,quantile_0.01,both
pycnopodia helianthoides,wc,quantile_0.01,both
raja binoculata,wc,quantile_0.01,both
raja eglanteria,neus,quantile_0.99,none
reinhardtius hippoglossoides,ebs,quantile_0.01,both
scomber scombrus,neus,quantile_0.99,both
scyliorhinus retifer,neus,quantile_0.99,none
sebastes babcocki,wc,quantile_0.01,none
sebastes crameri,wc,quantile_0.01,both
sebastes elongatus,wc,quantile_0.01,both
sebastes fasciatus,neus,quantile_0.01,none
sebastes goodei,wc,quantile_0.01,both
sebastes goodei,wc,quantile_0.99,both
sebastes jordani,wc,quantile_0.99,both
sebastes pinniger,wc,quantile_0.01,none
squalus suckleyi,wc,quantile_0.01,both
styela rustica,ebs,quantile_0.01,both
styela rustica,ebs,quantile_0.99,both
tautogolabrus adspersus,neus,quantile_0.01,none
telmessus cheiragonus,ebs,quantile_0.99,both
thaleichthys pacificus,ebs,quantile_0.99,both
urophycis chuss,neus,quantile_0.01,none
urophycis regia,neus,quantile_0.99,predict.sstmin
urophycis tenuis,neus,quantile_0.01,predict.sstmin
zalembius rosaceus,wc,quantile_0.99,both
zaniolepis latipinnis,wc,quantile_0.99,both
zoarces americanus,neus,quantile_0.01,predict.sstmax
